Form,Part,Visit Day,Question No.,Question/Item,Action/Notes,Supervisor Check
Annexure 1b - First Examination of Newborn,Part I,Day 1 (1 hour after birth),1,Is the baby alive? (Yes/No) If not note Date time and place of Death,In case of still birth/newborn death do not perform further examination of baby but complete examination of mother as per home visit form on day 1 3 7 14 21 28 42. Cause of death to be reported to ANM/MPW/PHC for infant death review,Correct/Incorrect
Annexure 1b - First Examination of Newborn,Part I,Day 1 (1 hour after birth),2,Is the baby preterm? (if yes write the preterm cut off date),, Correct/Incorrect
Annexure 1b - First Examination of Newborn,Part I,Day 1 (1 hour after birth),3,Date of First examination (Time: Early morning/Morning/Afternoon/Evening/Night),Days: Hrs: After birth,First examination done
Annexure 1b - First Examination of Newborn,Part I,Day 1 (1 hour after birth),4,Is the Mother alive? (Yes/No) If not note the Date time and place of Death,In case Mother is dead do not perform further examination of mother but complete examination of the baby as per home visit form on day 1 3 7 14 21 28 42. Report to ANM/PHC for maternal death review,
Annexure 1b - First Examination of Newborn,Part I,Day 1 (1 hour after birth),5a,Does the mother have Excessive Bleeding? (Yes/No),If yes refer immediately to a hospital. Action taken (Yes/No),Yes/No/NA
Annexure 1b - First Examination of Newborn,Part I,Day 1 (1 hour after birth),5b,Does the mother have Unconscious/Fits? (Yes/No),If yes refer immediately to a hospital. Action taken (Yes/No),Yes/No/NA
Annexure 1b - First Examination of Newborn,Part I,Day 1 (1 hour after birth),6,What was given as the first feed to baby after birth?,, Correct/Incorrect
Annexure 1b - First Examination of Newborn,Part I,Day 1 (1 hour after birth),7,At what time was the baby first breastfed? (Hrs Min),,Correct/Incorrect
Annexure 1b - First Examination of Newborn,Part I,Day 1 (1 hour after birth),8a,How did the baby take feed? - Forcefully (Yes/No),,Correct/Incorrect
Annexure 1b - First Examination of Newborn,Part I,Day 1 (1 hour after birth),8b,How did the baby take feed? - Weakly (Yes/No),,Correct/Incorrect
Annexure 1b - First Examination of Newborn,Part I,Day 1 (1 hour after birth),8c,How did the baby take feed? - Could not breastfeed but had to be fed with spoon (Yes/No),,Correct/Incorrect
Annexure 1b - First Examination of Newborn,Part I,Day 1 (1 hour after birth),8d,How did the baby take feed? - Could neither breast-feed nor could take milk given by spoon (Yes/No),,Correct/Incorrect
Annexure 1b - First Examination of Newborn,Part I,Day 1 (1 hour after birth),9,Does the mother have breastfeeding problem? (Yes/No),Write the problem; if there is any problem in breast feeding help the mother to overcome it,Yes/No/NA
